director_name,genres,movie_title,actor_1_name,actor_2_name,actor_3_name
Michael Bay,Action Adventure Sci-Fi,transformers: dark of the moon,Glenn Morshower,Lester Speight,Kevin Dunn
Steven Spielberg,Action Adventure Fantasy,indiana jones and the kingdom of the crystal skull,Harrison Ford,Ray Winstone,Jim Broadbent
Peter Sohn,Adventure Animation Comedy Family Fantasy,the good dinosaur,A.J. Buckley,Jack McGraw,Peter Sohn
Mark Andrews,Adventure Animation Comedy Family Fantasy,brave,Kelly Macdonald,John Ratzenberger,Julie Walters
Justin Lin,Action Adventure Sci-Fi Thriller,star trek beyond,Sofia Boutella,Melissa Roxburgh,Lydia Wilson
Andrew Stanton,Adventure Animation Family Sci-Fi,wall·e,John Ratzenberger,Fred Willard,Jeff Garlin
Brett Ratner,Action Comedy Crime Thriller,rush hour 3,Tzi Ma,Dana Ivey,Noémie Lenoir
Roland Emmerich,Action Adventure Sci-Fi,2012,Oliver Platt,Liam James,Tom McCarthy
Robert Zemeckis,Animation Drama Family Fantasy,a christmas carol,Robin Wright,Colin Firth,Gary Oldman
Lana Wachowski,Action Adventure Sci-Fi,jupiter ascending,Channing Tatum,Mila Kunis,Eddie Redmayne
David Yates,Action Adventure Drama Romance,the legend of tarzan,Christoph Waltz,Alexander Skarsgård,Casper Crump
Andrew Adamson,Adventure Family Fantasy,"the chronicles of narnia: the lion, the witch and the wardrobe",Jim Broadbent,Kiran Shah,Shane Rangi
Bryan Singer,Action Adventure Sci-Fi,x-men: apocalypse,Jennifer Lawrence,Michael Fassbender,Tye Sheridan
Christopher Nolan,Action Crime Drama Thriller,the dark knight,Christian Bale,Heath Ledger,Morgan Freeman
Pete Docter,Adventure Animation Comedy Family,up,John Ratzenberger,Delroy Lindo,Jess Harnell
Rob Letterman,Action Adventure Animation Comedy Family Sci-Fi,monsters vs. aliens,Amy Poehler,Rainn Wilson,Stephen Colbert
Jon Favreau,Action Adventure Sci-Fi,iron man,Robert Downey Jr.,Jeff Bridges,Jon Favreau
Martin Scorsese,Adventure Drama Family Mystery,hugo,Chloë Grace Moretz,Christopher Lee,Ray Winstone
Barry Sonnenfeld,Action Comedy Sci-Fi Western,wild wild west,Will Smith,Salma Hayek,Bai Ling
Rob Cohen,Action Adventure Fantasy Horror Thriller,the mummy: tomb of the dragon emperor,Jet Li,Brendan Fraser,Russell Wong
David Ayer,Action Adventure Comedy Sci-Fi,suicide squad,Will Smith,Robin Atkin Downes,Ike Barinholtz
Tom Shadyac,Comedy Family Fantasy,evan almighty,Jimmy Bennett,Morgan Freeman,Steve Carell
Doug Liman,Action Adventure Sci-Fi,edge of tomorrow,Tom Cruise,Lara Pulver,Noah Taylor
Kevin Reynolds,Action Adventure Sci-Fi Thriller,waterworld,Jeanne Tripplehorn,Rick Aviles,Zakes Mokae
Stephen Sommers,Action Adventure Sci-Fi Thriller,g.i. joe: the rise of cobra,Joseph Gordon-Levitt,Dennis Quaid,Leo Howard
Pete Docter,Adventure Animation Comedy Drama Family Fantasy,inside out,Amy Poehler,Mindy Kaling,Phyllis Smith
Jon Favreau,Adventure Drama Family Fantasy,the jungle book,Scarlett Johansson,Bill Murray,Garry Shandling
Jon Favreau,Action Adventure Sci-Fi,iron man 2,Robert Downey Jr.,Scarlett Johansson,Jon Favreau
Rupert Sanders,Action Adventure Drama Fantasy,snow white and the huntsman,Chris Hemsworth,Kristen Stewart,Sam Claflin
Robert Stromberg,Action Adventure Family Fantasy Romance,maleficent,Angelina Jolie Pitt,Sharlto Copley,Sam Riley
Matt Reeves,Action Adventure Drama Sci-Fi,dawn of the planet of the apes,Gary Oldman,Judy Greer,Kodi Smit-McPhee
Roland Joffé,Action Adventure Romance Sci-Fi,the lovers,Tamsin Egerton,Alice Englert,Bipasha Basu
Carl Rinsch,Action Adventure Drama Fantasy,47 ronin,Keanu Reeves,Cary-Hiroyuki Tagawa,Jin Akanishi
Anthony Russo,Action Adventure Sci-Fi,captain america: the winter soldier,Scarlett Johansson,Chris Evans,Hayley Atwell
Mike Mitchell,Adventure Animation Comedy Family Fantasy,shrek forever after,Jon Hamm,Kathy Griffin,Mary Kay Place
Brad Bird,Action Adventure Family Mystery Sci-Fi,tomorrowland,Judy Greer,Chris Bauer,Thomas Robinson
Don Hall,Action Adventure Animation Comedy Drama Family Sci-Fi,big hero 6,Damon Wayans Jr.,Daniel Henney,Abraham Benrubi
Rich Moore,Adventure Animation Comedy Family Sci-Fi,wreck-it ralph,Jack McBrayer,Sarah Silverman,Joe Lo Truglio
Robert Zemeckis,Adventure Animation Family Fantasy,the polar express,Tom Hanks,Eddie Deezen,Peter Scolari
Roland Emmerich,Action Adventure Sci-Fi,independence day: resurgence,Vivica A. Fox,Sela Ward,Judd Hirsch
Dean DeBlois,Adventure Animation Family Fantasy,how to train your dragon,Gerard Butler,America Ferrera,Craig Ferguson
Jonathan Mostow,Action Sci-Fi,terminator 3: rise of the machines,Nick Stahl,M.C. Gainey,Carolyn Hennesy
James Gunn,Action Adventure Sci-Fi,guardians of the galaxy,Bradley Cooper,Vin Diesel,Djimon Hounsou
Christopher Nolan,Adventure Drama Sci-Fi,interstellar,Matthew McConaughey,Anne Hathaway,Mackenzie Foy
Christopher Nolan,Action Adventure Sci-Fi Thriller,inception,Leonardo DiCaprio,Tom Hardy,Joseph Gordon-Levitt
Hideaki Anno,Action Adventure Drama Horror Sci-Fi,godzilla resurgence,Mark Chinnery,Shin'ya Tsukamoto,Atsuko Maeda
Peter Jackson,Adventure Fantasy,the hobbit: an unexpected journey,Aidan Turner,Adam Brown,James Nesbitt
Rob Cohen,Action Crime Thriller,the fast and the furious,Paul Walker,Vin Diesel,Jordana Brewster
David Fincher,Drama Fantasy Romance,the curious case of benjamin button,Brad Pitt,Jason Flemyng,Julia Ormond
Matthew Vaughn,Action Adventure Sci-Fi,x-men: first class,Jennifer Lawrence,Michael Fassbender,Oliver Platt
Francis Lawrence,Adventure Sci-Fi,the hunger games: mockingjay - part 2,Jennifer Lawrence,Philip Seymour Hoffman,Josh Hutcherson
Jon Turteltaub,Action Adventure Family Fantasy,the sorcerer's apprentice,Nicolas Cage,Omar Benson Miller,Robert Capron
Wolfgang Petersen,Action Adventure Drama Thriller,poseidon,Jimmy Bennett,Mike Vogel,Andre Braugher
James Bobin,Adventure Family Fantasy,alice through the looking glass,Johnny Depp,Alan Rickman,Anne Hathaway
Chris Miller,Adventure Animation Comedy Family Fantasy,shrek the third,Justin Timberlake,Eric Idle,Rupert Everett
Duncan Jones,Action Adventure Fantasy,warcraft,Dominic Cooper,Callum Rennie,Ruth Negga
Alan Taylor,Action Adventure Sci-Fi,terminator genisys,J.K. Simmons,Emilia Clarke,Matt Smith
Michael Apted,Adventure Family Fantasy,the chronicles of narnia: the voyage of the dawn treader,Bruce Spence,Shane Rangi,Laura Brent
Michael Bay,Action Drama History Romance War,pearl harbor,Jennifer Garner,Jaime King,Mako
Michael Bay,Action Adventure Sci-Fi,transformers,Zack Ward,Michael O'Neill,Kevin Dunn
Oliver Stone,Action Adventure Biography Drama History Romance War,alexander,Anthony Hopkins,Angelina Jolie Pitt,Brian Blessed
David Yates,Adventure Family Fantasy Mystery,harry potter and the order of the phoenix,Robert Pattinson,Daniel Radcliffe,Fiona Shaw
Mike Newell,Adventure Family Fantasy Mystery,harry potter and the goblet of fire,Robert Pattinson,Daniel Radcliffe,Rupert Grint
Peter Berg,Action Drama,hancock,Will Smith,Charlize Theron,Eddie Marsan
Francis Lawrence,Drama Horror Sci-Fi,i am legend,Will Smith,Alice Braga,Willow Smith
Tim Burton,Adventure Comedy Family Fantasy,charlie and the chocolate factory,Johnny Depp,Christopher Lee,David Kelly
Brad Bird,Animation Comedy Family Fantasy,ratatouille,Janeane Garofalo,John Ratzenberger,Brian Dennehy
Christopher Nolan,Action Adventure,batman begins,Christian Bale,Liam Neeson,Morgan Freeman
Eric Darnell,Action Adventure Animation Comedy Family,madagascar: escape 2 africa,Bernie Mac,Jada Pinkett Smith,Cedric the Entertainer
Shawn Levy,Adventure Comedy Family Fantasy,night at the museum: battle of the smithsonian,Robin Williams,Rami Malek,Steve Coogan
Gavin Hood,Action Adventure Fantasy Sci-Fi Thriller,x-men origins: wolverine,Hugh Jackman,Ryan Reynolds,Dominic Monaghan
Lana Wachowski,Action Sci-Fi,the matrix revolutions,Essie Davis,Collin Chou,Nona Gaye
Chris Buck,Adventure Animation Comedy Family Fantasy Musical,frozen,Josh Gad,Maurice LaMarche,Livvy Stubenrauch
Lana Wachowski,Action Sci-Fi,the matrix reloaded,Steve Bastoni,Daniel Bernhardt,Helmut Bakaitis
Alan Taylor,Action Adventure Fantasy,thor: the dark world,Chris Hemsworth,Natalie Portman,Anthony Hopkins
George Miller,Action Adventure Sci-Fi Thriller,mad max: fury road,Tom Hardy,Charlize Theron,Zoë Kravitz
Ron Howard,Mystery Thriller,angels & demons,Tom Hanks,Ayelet Zurer,Armin Mueller-Stahl
Kenneth Branagh,Action Adventure Fantasy,thor,Chris Hemsworth,Natalie Portman,Anthony Hopkins
Byron Howard,Adventure Animation Comedy Drama Family,bolt,Chloë Grace Moretz,Diedrich Bader,James Lipton
Hoyt Yeatman,Action Adventure Animation Comedy Family Fantasy Sci-Fi,g-force,Kelli Garner,Piper Mackenzie Harris,Niecy Nash
Jonathan Liebesman,Action Adventure Fantasy,wrath of the titans,Liam Neeson,Edgar Ramírez,Lily James
Tim Burton,Comedy Fantasy Horror,dark shadows,Johnny Depp,Chloë Grace Moretz,Christopher Lee
Christopher McQuarrie,Action Adventure Thriller,mission: impossible - rogue nation,Tom Cruise,Jeremy Renner,Sean Harris
Joe Johnston,Drama Fantasy Horror Thriller,the wolfman,Anthony Hopkins,Simon Merrells,Art Malik
David Yates,Action Adventure Drama Romance,the legend of tarzan,Christoph Waltz,Alexander Skarsgård,Casper Crump
Steve Hickner,Adventure Animation Comedy Family,bee movie,Matthew Broderick,Oprah Winfrey,Rip Torn
Jennifer Yuh Nelson,Action Adventure Animation Comedy Family,kung fu panda 2,Angelina Jolie Pitt,Gary Oldman,Mike Bell
M. Night Shyamalan,Action Adventure Family Fantasy,the last airbender,Seychelle Gabriel,Noah Ringer,Aasif Mandvi
J.J. Abrams,Action Adventure Thriller,mission: impossible iii,Philip Seymour Hoffman,Tom Cruise,Eddie Marsan
Roland Emmerich,Action Drama Thriller,white house down,Channing Tatum,Jake Weber,Matt Craven
Simon Wells,Action Adventure Animation Comedy Family Sci-Fi,mars needs moms,Elisabeth Harnois,Dan Fogler,Tom Everett Scott
David Bowers,Adventure Animation Comedy Family,flushed away,Hugh Jackman,Kate Winslet,David Suchet
Joe Wright,Adventure Family Fantasy,pan,Hugh Jackman,Cara Delevingne,Nonso Anozie
Rob Minkoff,Adventure Animation Comedy Family Sci-Fi,mr. peabody & sherman,Ty Burrell,Zach Callison,Karan Brar
Wolfgang Petersen,Adventure,troy,Brad Pitt,Orlando Bloom,Julian Glover
Eric Darnell,Adventure Animation Comedy Family,madagascar 3: europe's most wanted,Jada Pinkett Smith,Martin Short,Cedric the Entertainer
Lee Tamahori,Action Adventure Thriller,die another day,Toby Stephens,Colin Salmon,Rick Yune
Paul Feig,Action Comedy Fantasy Sci-Fi,ghostbusters,Ed Begley Jr.,Kate McKinnon,Zach Woods
Michael Bay,Action Adventure Sci-Fi Thriller,armageddon,Bruce Willis,Steve Buscemi,Will Patton
Barry Sonnenfeld,Action Adventure Comedy Family Fantasy Mystery Sci-Fi,men in black ii,Will Smith,Rosario Dawson,Rip Torn
Robert Zemeckis,Action Adventure Animation Fantasy,beowulf,Robin Wright,Anthony Hopkins,Sebastian Roché
Alessandro Carloni,Action Adventure Animation Comedy Family,kung fu panda 3,J.K. Simmons,Angelina Jolie Pitt,Wayne Knight
Brad Bird,Action Adventure Thriller,mission: impossible - ghost protocol,Tom Cruise,Jeremy Renner,Michael Nyqvist
Peter Ramsey,Adventure Animation Family Fantasy,rise of the guardians,Hugh Jackman,Kamil McFadden,Khamani Griffin
Dean Parisot,Comedy Crime,fun with dick and jane,John Michael Higgins,Richard Burgi,David Herman
Edward Zwick,Action Drama History War,the last samurai,Tom Cruise,Tony Goldwyn,Chad Lindberg
Ridley Scott,Action Adventure Drama,exodus: gods and kings,Christian Bale,María Valverde,Ben Mendelsohn
J.J. Abrams,Action Adventure Sci-Fi,star trek,Chris Hemsworth,Leonard Nimoy,Bruce Greenwood
Sam Raimi,Action Adventure Fantasy Romance,spider-man,J.K. Simmons,James Franco,Kirsten Dunst
Dean DeBlois,Action Adventure Animation Comedy Family Fantasy,how to train your dragon 2,Gerard Butler,Djimon Hounsou,America Ferrera
Alex Proyas,Action Adventure Fantasy,gods of egypt,Gerard Butler,Elodie Yung,Bryan Brown
Rob Cohen,Action Adventure Sci-Fi Thriller,stealth,Sam Shepard,Joe Morton,Richard Roxburgh
Zack Snyder,Action Drama Mystery Sci-Fi,watchmen,Matt Frewer,Billy Crudup,Stephen McHattie
Richard Donner,Action Crime Thriller,lethal weapon 4,Jet Li,Rene Russo,Darlene Love
Ang Lee,Action Sci-Fi,hulk,Kevin Rankin,Regi Davis,Celia Weston
Jon M. Chu,Action Adventure Sci-Fi Thriller,g.i. joe: retaliation,Channing Tatum,Dwayne Johnson,Elodie Yung
Breck Eisner,Action Adventure Comedy Thriller,sahara,Matthew McConaughey,Rainn Wilson,Delroy Lindo
Hironobu Sakaguchi,Action Adventure Animation Fantasy Romance Sci-Fi,final fantasy: the spirits within,Steve Buscemi,Ming-Na Wen,Jean Simmons
Joe Johnston,Action Adventure Sci-Fi,captain america: the first avenger,Chris Evans,Dominic Cooper,Hayley Atwell
Michael Apted,Action Adventure Thriller,the world is not enough,Colin Salmon,Maria Grazia Cucinotta,Desmond Llewelyn
Peter Weir,Action Adventure Drama History War,master and commander: the far side of the world,James D'Arcy,Lee Ingleby,David Threlfall
Bill Condon,Adventure Drama Fantasy Romance,the twilight saga: breaking dawn - part 2,Robert Pattinson,Kristen Stewart,Taylor Lautner
George Miller,Animation Comedy Family Musical,happy feet 2,Robin Williams,Brad Pitt,Common
Louis Leterrier,Action Adventure Sci-Fi,the incredible hulk,Ty Burrell,Peter Mensah,William Hurt
unknown,Action Crime Drama Mystery Thriller,miami vice            ,Don Johnson,Philip Michael Thomas,John Diehl
Steven Spielberg,Adventure Family Fantasy,the bfg,Mark Rylance,Penelope Wilton,Rafe Spall
Alejandro G. Iñárritu,Adventure Drama Thriller Western,the revenant,Leonardo DiCaprio,Tom Hardy,Lukas Haas
David Soren,Adventure Animation Comedy Family Sport,turbo,Ryan Reynolds,Snoop Dogg,Ben Schwartz
Gore Verbinski,Adventure Animation Comedy Family Western,rango,Johnny Depp,Ray Winstone,Stephen Root
Eric Darnell,Adventure Animation Comedy Family,penguins of madagascar,Benedict Cumberbatch,Annet Mahendru,Andy Richter
Paul Greengrass,Action Mystery Thriller,the bourne ultimatum,Matt Damon,Edgar Ramírez,Albert Finney
Mark Osborne,Action Adventure Animation Comedy Family,kung fu panda,Angelina Jolie Pitt,Wayne Knight,Dan Fogler
Peyton Reed,Action Adventure Comedy Sci-Fi,ant-man,Judy Greer,Hayley Atwell,T.I.
Francis Lawrence,Adventure Sci-Fi Thriller,the hunger games: catching fire,Jennifer Lawrence,Josh Hutcherson,Sandra Ellis Lafferty
Bill Condon,Adventure Drama Fantasy Romance,the twilight saga: breaking dawn - part 2,Robert Pattinson,Kristen Stewart,Taylor Lautner
Tim Johnson,Adventure Animation Comedy Family Fantasy Sci-Fi,home,Jim Parsons,Matt Jones,April Winchell
Steven Spielberg,Adventure Sci-Fi Thriller,war of the worlds,Tom Cruise,Lisa Ann Walter,Rick Gonzalez
Michael Bay,Action Comedy Crime Thriller,bad boys ii,Will Smith,Henry Rollins,Jordi Mollà
Chris Miller,Action Adventure Animation Comedy Family Fantasy,puss in boots,Salma Hayek,Constance Marie,Amy Sedaris
Phillip Noyce,Action Crime Mystery Thriller,salt,Angelina Jolie Pitt,Andre Braugher,August Diehl
Darren Aronofsky,Action Adventure Drama,noah,Anthony Hopkins,Emma Watson,Logan Lerman
Steven Spielberg,Action Adventure Family Mystery,the adventures of tintin,Toby Jones,Mackenzie Crook,Tony Curran
Alfonso Cuarón,Adventure Family Fantasy Mystery,harry potter and the prisoner of azkaban,Daniel Radcliffe,Gary Oldman,Rupert Grint
Baz Luhrmann,Adventure Drama Romance War,australia,Essie Davis,Bryan Brown,Eddie Baroo
M. Night Shyamalan,Action Adventure Sci-Fi,after earth,Will Smith,Zoë Kravitz,Glenn Morshower
Eric Leighton,Adventure Animation Family Thriller,dinosaur,Alfre Woodard,D.B. Sweeney,Della Reese
Matt Birch,Action Fantasy,harry potter and the deathly hallows: part ii,Rupert Grint,Dave Legeno,Ralph Ineson
Shawn Levy,Adventure Comedy Family Fantasy,night at the museum: secret of the tomb,Robin Williams,Rami Malek,Steve Coogan
Tom McGrath,Action Animation Comedy Family Sci-Fi,megamind,J.K. Simmons,Brad Pitt,Will Ferrell
Chris Columbus,Adventure Family Fantasy,harry potter and the sorcerer's stone,Daniel Radcliffe,Fiona Shaw,Verne Troyer
Robert Schwentke,Action Comedy Fantasy,r.i.p.d.,Ryan Reynolds,Jeff Bridges,Stephanie Szostak
Hideaki Anno,Action Adventure Drama Horror Sci-Fi,godzilla resurgence,Mark Chinnery,Shin'ya Tsukamoto,Atsuko Maeda
Gore Verbinski,Action Adventure Fantasy,pirates of the caribbean: the curse of the black pearl,Johnny Depp,Orlando Bloom,Jack Davenport
Matt Birch,Fantasy,harry potter and the deathly hallows: part i,Rupert Grint,Toby Jones,Alfred Enoch
Francis Lawrence,Adventure Sci-Fi Thriller,the hunger games: mockingjay - part 1,Jennifer Lawrence,Philip Seymour Hoffman,Josh Hutcherson
Ron Howard,Mystery Thriller,the da vinci code,Tom Hanks,Seth Gabel,Jürgen Prochnow
Carlos Saldanha,Adventure Animation Comedy Family Musical,rio 2,Miguel Ferrer,Rachel Crow,Jeffrey Garcia
Bryan Singer,Action Adventure Fantasy Sci-Fi Thriller,x-men 2,Hugh Jackman,Bruce Davison,Aaron Stanford
Justin Lin,Action Crime Thriller,fast five,Paul Walker,Vin Diesel,Dwayne Johnson
Guy Ritchie,Action Adventure Crime Mystery Thriller,sherlock holmes: a game of shadows,Robert Downey Jr.,Eddie Marsan,Paul Anderson
Louis Leterrier,Action Adventure Fantasy,clash of the titans,Liam Neeson,Jason Flemyng,Alexa Davalos
Paul Verhoeven,Action Sci-Fi,total recall,Ronny Cox,Rachel Ticotin,Marshall Bell
John McTiernan,Action Adventure History,the 13th warrior,Tony Curran,Vladimir Kulich,Clive Russell
Tony Gilroy,Action Adventure Thriller,the bourne legacy,Jeremy Renner,Scott Glenn,Stacy Keach
Joel Schumacher,Action,batman & robin,Michael Gough,Vivica A. Fox,John Glover
Ron Howard,Comedy Family Fantasy,how the grinch stole christmas,Clint Howard,T.J. Thyne,Molly Shannon
Roland Emmerich,Action Adventure Sci-Fi Thriller,the day after tomorrow,Jake Gyllenhaal,Dennis Quaid,Sela Ward
John Woo,Action Adventure Thriller,mission: impossible ii,Tom Cruise,Dougray Scott,Richard Roxburgh
Wolfgang Petersen,Action Adventure Drama Thriller,the perfect storm,Karen Allen,Mary Elizabeth Mastrantonio,Bob Gunton
Tim Story,Action Adventure Sci-Fi Thriller,fantastic 4: rise of the silver surfer,Chris Evans,Ioan Gruffudd,Andre Braugher
Ang Lee,Adventure Drama Fantasy,life of pi,Suraj Sharma,Rafe Spall,Tabu
Mark Steven Johnson,Action Fantasy Thriller,ghost rider,Nicolas Cage,Matt Long,Peter Fonda
Paul Greengrass,Action Thriller,jason bourne,Matt Damon,Riz Ahmed,Ato Essandoh
McG,Action Adventure Comedy Crime,charlie's angels: full throttle,Demi Moore,Bernie Mac,Justin Theroux
Ridley Scott,Adventure Mystery Sci-Fi,prometheus,Michael Fassbender,Charlize Theron,Sean Harris
Rob Minkoff,Adventure Animation Comedy Family Fantasy,stuart little 2,Nathan Lane,Brad Garrett,Melanie Griffith
Neill Blomkamp,Action Drama Sci-Fi Thriller,elysium,Matt Damon,Sharlto Copley,Alice Braga
David Twohy,Action Adventure Sci-Fi Thriller,the chronicles of riddick,Vin Diesel,Alexa Davalos,Christina Cox
José Padilha,Action Crime Sci-Fi Thriller,robocop,Gary Oldman,Abbie Cornish,Jennifer Ehle
Lana Wachowski,Action Family Sport,speed racer,Scott Porter,Kick Gurry,Nicholas Elia
James L. Brooks,Comedy Drama Romance,how do you know,Shelley Conn,Domenick Lombardozzi,Teyonah Parris
James Mangold,Action Comedy Romance,knight and day,Tom Cruise,Marc Blucas,Jordi Mollà
Joseph Kosinski,Action Adventure Mystery Sci-Fi,oblivion,Morgan Freeman,Tom Cruise,Zoë Bell
George Lucas,Action Adventure Fantasy Sci-Fi,star wars: episode iii - revenge of the sith,Natalie Portman,Christopher Lee,Hayden Christensen
George Lucas,Action Adventure Fantasy Sci-Fi,star wars: episode ii - attack of the clones,Natalie Portman,Christopher Lee,Hayden Christensen
Pete Docter,Adventure Animation Comedy Family Fantasy,"monsters, inc.",Steve Buscemi,John Ratzenberger,James Coburn
James Mangold,Action Adventure Sci-Fi Thriller,the wolverine,Hugh Jackman,Tao Okamoto,Rila Fukushima
George Lucas,Action Adventure Fantasy Sci-Fi,star wars: episode i - the phantom menace,Natalie Portman,Liam Neeson,Ian McDiarmid
Kirk De Micco,Adventure Animation Comedy Family Fantasy,the croods,Ryan Reynolds,Emma Stone,Nicolas Cage
Frédéric Forestier,Adventure Comedy Family Fantasy,asterix at the olympic games,Alain Delon,Santiago Segura,Vanessa Hessler
John Woo,Action Drama War,windtalkers,Nicolas Cage,Roger Willie,Noah Emmerich
